timestamp,camera_id,person_id,status,severity,rule_triggered,reason,score,confidence
2026-05-11T05:46:06.850717+00:00,cam-1,cam-1-p3,Unsafe,red,R0_LIVE_PPE_MODEL_UNAVAILABLE,PPE model unavailable in live monitoring mode,0,0.7078
2026-05-11T05:46:06.850717+00:00,cam-1,cam-1-p4,Unsafe,red,R0_LIVE_PPE_MODEL_UNAVAILABLE,PPE model unavailable in live monitoring mode,0,0.6873
2026-05-11T05:46:07.365337+00:00,cam-1,cam-1-p1,Unsafe,red,R0_LIVE_PPE_MODEL_UNAVAILABLE,PPE model unavailable in live monitoring mode,0,0.8834
2026-05-11T05:46:07.365337+00:00,cam-1,cam-1-p2,Unsafe,red,R0_LIVE_PPE_MODEL_UNAVAILABLE,PPE model unavailable in live monitoring mode,0,0.8596
2026-05-11T05:46:07.365337+00:00,cam-1,cam-1-p3,Unsafe,red,R0_LIVE_PPE_MODEL_UNAVAILABLE,PPE model unavailable in live monitoring mode,0,0.7228
2026-05-11T05:46:07.365337+00:00,cam-1,cam-1-p4,Unsafe,red,R0_LIVE_PPE_MODEL_UNAVAILABLE,PPE model unavailable in live monitoring mode,0,0.6896
2026-05-11T05:46:07.365337+00:00,cam-1,cam-1-p5,Unsafe,red,R0_LIVE_PPE_MODEL_UNAVAILABLE,PPE model unavailable in live monitoring mode,0,0.4519
2026-05-11T05:46:07.907020+00:00,cam-1,cam-1-p1,Unsafe,red,R0_LIVE_PPE_MODEL_UNAVAILABLE,PPE model unavailable in live monitoring mode,0,0.8819
2026-05-11T05:46:07.907020+00:00,cam-1,cam-1-p2,Unsafe,red,R0_LIVE_PPE_MODEL_UNAVAILABLE,PPE model unavailable in live monitoring mode,0,0.8543
2026-05-11T05:46:07.907020+00:00,cam-1,cam-1-p3,Unsafe,red,R0_LIVE_PPE_MODEL_UNAVAILABLE,PPE model unavailable in live monitoring mode,0,0.7240
2026-05-11T05:46:07.907020+00:00,cam-1,cam-1-p4,Unsafe,red,R0_LIVE_PPE_MODEL_UNAVAILABLE,PPE model unavailable in live monitoring mode,0,0.6727
2026-05-11T05:46:07.907020+00:00,cam-1,cam-1-p5,Unsafe,red,R0_LIVE_PPE_MODEL_UNAVAILABLE,PPE model unavailable in live monitoring mode,0,0.4840
2026-05-11T05:46:08.509514+00:00,cam-1,cam-1-p1,Unsafe,red,R0_LIVE_PPE_MODEL_UNAVAILABLE,PPE model unavailable in live monitoring mode,0,0.8855
2026-05-11T05:46:08.509514+00:00,cam-1,cam-1-p2,Unsafe,red,R0_LIVE_PPE_MODEL_UNAVAILABLE,PPE model unavailable in live monitoring mode,0,0.8500
2026-05-11T05:46:08.509514+00:00,cam-1,cam-1-p3,Unsafe,red,R0_LIVE_PPE_MODEL_UNAVAILABLE,PPE model unavailable in live monitoring mode,0,0.7052
2026-05-11T05:46:08.509514+00:00,cam-1,cam-1-p4,Unsafe,red,R0_LIVE_PPE_MODEL_UNAVAILABLE,PPE model unavailable in live monitoring mode,0,0.6931
2026-05-11T05:46:09.095197+00:00,cam-1,cam-1-p1,Unsafe,red,R0_LIVE_PPE_MODEL_UNAVAILABLE,PPE model unavailable in live monitoring mode,0,0.8887
2026-05-11T05:46:09.095197+00:00,cam-1,cam-1-p2,Unsafe,red,R0_LIVE_PPE_MODEL_UNAVAILABLE,PPE model unavailable in live monitoring mode,0,0.8510
2026-05-11T05:46:09.095197+00:00,cam-1,cam-1-p3,Unsafe,red,R0_LIVE_PPE_MODEL_UNAVAILABLE,PPE model unavailable in live monitoring mode,0,0.7093
2026-05-11T05:46:09.095197+00:00,cam-1,cam-1-p4,Unsafe,red,R0_LIVE_PPE_MODEL_UNAVAILABLE,PPE model unavailable in live monitoring mode,0,0.6926
2026-05-11T05:46:09.615652+00:00,cam-1,cam-1-p1,Unsafe,red,R0_LIVE_PPE_MODEL_UNAVAILABLE,PPE model unavailable in live monitoring mode,0,0.8831
2026-05-11T05:46:09.615652+00:00,cam-1,cam-1-p2,Unsafe,red,R0_LIVE_PPE_MODEL_UNAVAILABLE,PPE model unavailable in live monitoring mode,0,0.8490
2026-05-11T05:46:09.615652+00:00,cam-1,cam-1-p3,Unsafe,red,R0_LIVE_PPE_MODEL_UNAVAILABLE,PPE model unavailable in live monitoring mode,0,0.7137
2026-05-11T05:46:09.615652+00:00,cam-1,cam-1-p4,Unsafe,red,R0_LIVE_PPE_MODEL_UNAVAILABLE,PPE model unavailable in live monitoring mode,0,0.6763
2026-05-11T05:46:10.193158+00:00,cam-1,cam-1-p1,Unsafe,red,R0_LIVE_PPE_MODEL_UNAVAILABLE,PPE model unavailable in live monitoring mode,0,0.8815
2026-05-11T05:46:10.193158+00:00,cam-1,cam-1-p2,Unsafe,red,R0_LIVE_PPE_MODEL_UNAVAILABLE,PPE model unavailable in live monitoring mode,0,0.8434
2026-05-11T05:46:10.193158+00:00,cam-1,cam-1-p3,Unsafe,red,R0_LIVE_PPE_MODEL_UNAVAILABLE,PPE model unavailable in live monitoring mode,0,0.7123
2026-05-11T05:46:10.193158+00:00,cam-1,cam-1-p4,Unsafe,red,R0_LIVE_PPE_MODEL_UNAVAILABLE,PPE model unavailable in live monitoring mode,0,0.6779
2026-05-11T05:46:10.809102+00:00,cam-1,cam-1-p1,Unsafe,red,R0_LIVE_PPE_MODEL_UNAVAILABLE,PPE model unavailable in live monitoring mode,0,0.8708
2026-05-11T05:46:10.809102+00:00,cam-1,cam-1-p2,Unsafe,red,R0_LIVE_PPE_MODEL_UNAVAILABLE,PPE model unavailable in live monitoring mode,0,0.8449
2026-05-11T05:46:10.809102+00:00,cam-1,cam-1-p3,Unsafe,red,R0_LIVE_PPE_MODEL_UNAVAILABLE,PPE model unavailable in live monitoring mode,0,0.7121
2026-05-11T05:46:10.809102+00:00,cam-1,cam-1-p4,Unsafe,red,R0_LIVE_PPE_MODEL_UNAVAILABLE,PPE model unavailable in live monitoring mode,0,0.6782
2026-05-11T05:46:10.809102+00:00,cam-1,cam-1-p5,Unsafe,red,R0_LIVE_PPE_MODEL_UNAVAILABLE,PPE model unavailable in live monitoring mode,0,0.4946
2026-05-11T05:46:11.358838+00:00,cam-1,cam-1-p1,Unsafe,red,R0_LIVE_PPE_MODEL_UNAVAILABLE,PPE model unavailable in live monitoring mode,0,0.8606
2026-05-11T05:46:11.358838+00:00,cam-1,cam-1-p2,Unsafe,red,R0_LIVE_PPE_MODEL_UNAVAILABLE,PPE model unavailable in live monitoring mode,0,0.8427
2026-05-11T05:46:11.358838+00:00,cam-1,cam-1-p3,Unsafe,red,R0_LIVE_PPE_MODEL_UNAVAILABLE,PPE model unavailable in live monitoring mode,0,0.7020
2026-05-11T05:46:11.358838+00:00,cam-1,cam-1-p4,Unsafe,red,R0_LIVE_PPE_MODEL_UNAVAILABLE,PPE model unavailable in live monitoring mode,0,0.6893
